machineName:sensorName,operationalHigh,operationalLow
DCS SUP:RADAR RM 2 FIRE (DUPSIG_02),1.0,0.0
DCS SUP:RADAR RM 2 FIRE (DUPSIG_03),1.0,0.0
DCS SUP:RADAR RM 2 FLOODG,1.0,0.0
DCS SUP:RADAR RM 2 FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:RADAR RM 3 FIRE,1.0,0.0
DCS SUP:RADAR RM 3 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:RADAR RM 3 FIRE (DUPSIG_02),1.0,0.0
DCS SUP:RADAR RM 3 FIRE (DUPSIG_03),1.0,0.0
DCS SUP:RADAR RM 3 FLOODG,1.0,0.0
DCS SUP:RADAR RM 3 FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:RADAR RM 3 INTRUSION,1.0,0.0
DCS SUP:RADAR RM 3 INTRUSION (DUPSIG_01),1.0,0.0
DCS SUP:RADIO TRANSMITTER RM FIRE,1.0,0.0
DCS SUP:RADIO TRANSMITTER RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:RADIO TRANSMITTER RM FLOODG,1.0,0.0
DCS SUP:RADIO TRANSMITTER RM FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:REFR MACH RM FIRE,1.0,0.0
DCS SUP:REFR MACH RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:REFR MACH RM FIRE (DUPSIG_02),1.0,0.0
DCS SUP:REFR MACH RM FIRE (DUPSIG_03),1.0,0.0
DCS SUP:REGISTERED PUB OFFICE FIRE,1.0,0.0
DCS SUP:REGISTERED PUB OFFICE FIRE (DUPSIG_01),1.0,0.0
DCS SUP:REPAIR 2 FIRE,1.0,0.0
DCS SUP:REPAIR 2 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:REPAIR 3 FIRE,1.0,0.0
DCS SUP:REPAIR 3 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:REPAIR 5 FIRE,1.0,0.0
DCS SUP:REPAIR 5 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SECURITY FORCE ISS RM FIRE,1.0,0.0
DCS SUP:SECURITY FORCE ISS RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SECURITY FORCE ISS RM INTRUSION,1.0,0.0
DCS SUP:SECURITY FORCE ISS RM INTRUSION (DUPSIG_01),1.0,0.0
DCS SUP:SECURITY STATION FIRE,1.0,0.0
DCS SUP:SECURITY STATION FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SHIP STORE FIRE,1.0,0.0
DCS SUP:SHIP STORE FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SHIP STORE STRM 1 FIRE,1.0,0.0
DCS SUP:SHIP STORE STRM 1 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SHIP STORE STRM 2 FIRE,1.0,0.0
DCS SUP:SHIP STORE STRM 2 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SHIP STORE STRM 2 FIRE (DUPSIG_02),1.0,0.0
DCS SUP:SHIP STORE STRM 2 FIRE (DUPSIG_03),1.0,0.0
DCS SUP:SHIPS STORE INTRUSION,1.0,0.0
DCS SUP:SHIPS STORE INTRUSION (DUPSIG_01),1.0,0.0
DCS SUP:SHOR PWR STATION FIRE,1.0,0.0
DCS SUP:SHOR PWR STATION FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SMALL ARMS MAGZN FIRE,1.0,0.0
DCS SUP:SMALL ARMS MAGZN FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SMALL ARMS MAGZN FLOODG,1.0,0.0
DCS SUP:SMALL ARMS MAGZN FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SMALL ARMS MAGZN SPRNKLR ON,1.0,0.0
DCS SUP:SMALL ARMS MAGZN SPRNKLR ON (DUPSIG_01),1.0,0.0
DCS SUP:SNAP III COMPUTER RM FIRE,1.0,0.0
DCS SUP:SNAP III COMPUTER RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SONAR CLG EQUIPMT RM FIRE,1.0,0.0
DCS SUP:SONAR CLG EQUIPMT RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SONAR CLG EQUIPMT RM FLOODG,1.0,0.0
DCS SUP:SONAR CLG EQUIPMT RM FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SONAR CTRL RM FIRE,1.0,0.0
DCS SUP:SONAR CTRL RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SONAR CTRL RM FLOODG,1.0,0.0
DCS SUP:SONAR CTRL RM FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SONAR CTRL RM INTRUSION,1.0,0.0
DCS SUP:SONAR CTRL RM INTRUSION (DUPSIG_01),1.0,0.0
DCS SUP:SONAR DOME ACCESS TRUNK FLOODG,1.0,0.0
DCS SUP:SONAR DOME ACCESS TRUNK FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SONAR EQUIPMT RM 1 FIRE,1.0,0.0
DCS SUP:SONAR EQUIPMT RM 1 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SONAR EQUIPMT RM 1 FLOODG,1.0,0.0
DCS SUP:SONAR EQUIPMT RM 1 FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SONAR EQUIPMT RM 2 FIRE,1.0,0.0
DCS SUP:SONAR EQUIPMT RM 2 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SONAR EQUIPMT RM 2 FLOODG,1.0,0.0
DCS SUP:SONAR EQUIPMT RM 2 FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SONAR EQUIPMT RM 3 FIRE,1.0,0.0
DCS SUP:SONAR EQUIPMT RM 3 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SONAR EQUIPMT RM 3 FLOODG,1.0,0.0
DCS SUP:SONAR EQUIPMT RM 3 FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SONAR RM 1 2 & 3 INTRUSION,1.0,0.0
DCS SUP:SONAR RM 1 2 & 3 INTRUSION (DUPSIG_01),1.0,0.0
DCS SUP:SONOBUOY STRM FIRE,1.0,0.0
DCS SUP:SONOBUOY STRM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SPECIAL CLOTHG STRM FIRE,1.0,0.0
DCS SUP:SPECIAL CLOTHG STRM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SPECIAL CLOTHG STRM FLOODG,1.0,0.0
DCS SUP:SPECIAL CLOTHG STRM FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SSES INTRUSION,1.0,0.0
DCS SUP:SSES INTRUSION (DUPSIG_01),1.0,0.0
DCS SUP:STATERM (02-136-1-L) FIRE,1.0,0.0
DCS SUP:STATERM (02-136-1-L) FIRE (DUPSIG_01),1.0,0.0
DCS SUP:STATERM (02-136-2-L) FIRE,1.0,0.0
DCS SUP:STATERM (02-136-2-L) FIRE (DUPSIG_01),1.0,0.0
DCS SUP:STATERM (02-145-1-L) FIRE,1.0,0.0
DCS SUP:STATERM (02-145-1-L) FIRE (DUPSIG_01),1.0,0.0
DCS SUP:STATERM (02-145-2-L) FIRE,1.0,0.0
DCS SUP:STATERM (02-145-2-L) FIRE (DUPSIG_01),1.0,0.0
DCS SUP:STATERM (02-158-7-L) FIRE,1.0,0.0
DCS SUP:STATERM (02-158-7-L) FIRE (DUPSIG_01),1.0,0.0
DCS SUP:STATERM (1-314-2-L) FIRE,1.0,0.0
DCS SUP:STATERM (1-314-2-L) FIRE (DUPSIG_01),1.0,0.0
DCS SUP:STATERM (1-322-2-L) FIRE,1.0,0.0
DCS SUP:STATERM (1-322-2-L) FIRE (DUPSIG_01),1.0,0.0
DCS SUP:STATERM (1-330-4-L) FIRE,1.0,0.0
DCS SUP:STATERM (1-330-4-L) FIRE (DUPSIG_01),1.0,0.0
DCS SUP:STEERNG GEAR RM FIRE,1.0,0.0
DCS SUP:STEERNG GEAR RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:STEERNG GEAR RM FIRE (DUPSIG_02),1.0,0.0
DCS SUP:STEERNG GEAR RM FIRE (DUPSIG_03),1.0,0.0
DCS SUP:STEERNG GEAR RM FIRE (DUPSIG_04),1.0,0.0
DCS SUP:STEERNG GEAR RM FIRE (DUPSIG_05),1.0,0.0
DCS SUP:STEERNG GEAR RM FLOODG,1.0,0.0
DCS SUP:STEERNG GEAR RM FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT OFFICE FIRE,1.0,0.0
DCS SUP:SUPL DEPT OFFICE FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT STRM 1 FIRE,1.0,0.0
DCS SUP:SUPL DEPT STRM 1 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT STRM 1 FIRE (DUPSIG_02),1.0,0.0
DCS SUP:SUPL DEPT STRM 1 FIRE (DUPSIG_03),1.0,0.0
DCS SUP:SUPL DEPT STRM 1 FIRE (DUPSIG_04),1.0,0.0
DCS SUP:SUPL DEPT STRM 1 FIRE (DUPSIG_05),1.0,0.0
DCS SUP:SUPL DEPT STRM 1 FLOODG,1.0,0.0
DCS SUP:SUPL DEPT STRM 1 FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT STRM 1 SPRNKLR ON,1.0,0.0
DCS SUP:SUPL DEPT STRM 1 SPRNKLR ON (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT STRM 2 FIRE,1.0,0.0
DCS SUP:SUPL DEPT STRM 2 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT STRM 2 FLOODG,1.0,0.0
DCS SUP:SUPL DEPT STRM 2 FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT STRM 3 FIRE,1.0,0.0
DCS SUP:SUPL DEPT STRM 3 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT STRM 3 FLOODG,1.0,0.0
DCS SUP:SUPL DEPT STRM 3 FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT STRM 4 FIRE,1.0,0.0
DCS SUP:SUPL DEPT STRM 4 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SUPL DEPT STRM 4 FLOODG,1.0,0.0
DCS SUP:SUPL DEPT STRM 4 FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SUPL SUPPORT CENTER FIRE,1.0,0.0
DCS SUP:SUPL SUPPORT CENTER FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SUPL SUPPORT CENTER FIRE (DUPSIG_02),1.0,0.0
DCS SUP:SUPL SUPPORT CENTER FIRE (DUPSIG_03),1.0,0.0
DCS SUP:SUPL SUPPORT CENTER FLOODG,1.0,0.0
DCS SUP:SUPL SUPPORT CENTER FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:SUPL SUPPORT CTRL SPRNKLR ON,1.0,0.0
DCS SUP:SUPL SUPPORT CTRL SPRNKLR ON (DUPSIG_01),1.0,0.0
DCS SUP:SVC INTRFACE RM FIRE,1.0,0.0
DCS SUP:SVC INTRFACE RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:SVC INTRFACE RM FIRE (DUPSIG_02),1.0,0.0
DCS SUP:SVC INTRFACE RM FIRE (DUPSIG_03),1.0,0.0
DCS SUP:TACTAS HOIST RM FIRE,1.0,0.0
DCS SUP:TACTAS HOIST RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:TACTAS HOIST RM FLOODG,1.0,0.0
DCS SUP:TACTAS HOIST RM FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:TACTAS HOIST RM LOW,1.0,0.0
DCS SUP:TACTAS HOIST RM LOW (DUPSIG_01),1.0,0.0
DCS SUP:TACTAS HOIST RM PRI & RSV PWR FAILR,1.0,0.0
DCS SUP:TACTAS HOIST RM PRI & RSV PWR FAILR (DUPSIG_01),1.0,0.0
DCS SUP:TACTAS HOIST RM PRI HALON SYS ACTUATED,1.0,0.0
DCS SUP:TACTAS HOIST RM PRI HALON SYS ACTUATED (DUPSIG_01),1.0,0.0
DCS SUP:TACTAS HOIST RM PRI HALON SYS RELEASED,1.0,0.0
DCS SUP:TACTAS HOIST RM PRI HALON SYS RELEASED (DUPSIG_01),1.0,0.0
DCS SUP:TACTAS HOIST RM RSV HALON SYS ACTUATED,1.0,0.0
DCS SUP:TACTAS HOIST RM RSV HALON SYS ACTUATED (DUPSIG_01),1.0,0.0
DCS SUP:TACTAS HOIST RM RSV HALON SYS RELEASED,1.0,0.0
DCS SUP:TACTAS HOIST RM RSV HALON SYS RELEASED (DUPSIG_01),1.0,0.0
DCS SUP:TEST LAB FIRE,1.0,0.0
DCS SUP:TEST LAB FIRE (DUPSIG_01),1.0,0.0
DCS SUP:TOMAHAWK EQUIPMT RM FIRE,1.0,0.0
DCS SUP:TOMAHAWK EQUIPMT RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:TOMAHAWK EQUIPMT RM INTRUSION,1.0,0.0
DCS SUP:TOMAHAWK EQUIPMT RM INTRUSION (DUPSIG_01),1.0,0.0
DCS SUP:TOOL ISSUE RM FIRE,1.0,0.0
DCS SUP:TOOL ISSUE RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:TORP MAGZN FIRE,1.0,0.0
DCS SUP:TORP MAGZN FIRE (DUPSIG_01),1.0,0.0
DCS SUP:TORP MAGZN FLOODG,1.0,0.0
DCS SUP:TORP MAGZN FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:TORP MAGZN SPRNKLR ON,1.0,0.0
DCS SUP:TORP MAGZN SPRNKLR ON (DUPSIG_01),1.0,0.0
DCS SUP:TRASH DISPOSAL RM FIRE,1.0,0.0
DCS SUP:TRASH DISPOSAL RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:TRASH DISPOSAL RM FLOODG,1.0,0.0
DCS SUP:TRASH DISPOSAL RM FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:TRASH DISPOSAL RM SPRNKLR ON,1.0,0.0
DCS SUP:TRASH DISPOSAL RM SPRNKLR ON (DUPSIG_01),1.0,0.0
DCS SUP:VBSS LCKR FIRE,1.0,0.0
DCS SUP:VBSS LCKR FIRE (DUPSIG_01),1.0,0.0
DCS SUP:VCHT RM 1 FIRE,1.0,0.0
DCS SUP:VCHT RM 1 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:VCHT RM 1 SUMP FLOODG,1.0,0.0
DCS SUP:VCHT RM 1 SUMP FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:VCHT RM 2 FIRE,1.0,0.0
DCS SUP:VCHT RM 2 FIRE (DUPSIG_01),1.0,0.0
DCS SUP:VCHT RM 2 SUMP FLOODG,1.0,0.0
DCS SUP:VCHT RM 2 SUMP FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE DELUGE SYS ACTIVE,1.0,0.0
DCS SUP:VLS A MODULE DELUGE SYS ACTIVE (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE DELUGE SYS LVL LOW,1.0,0.0
DCS SUP:VLS A MODULE DELUGE SYS LVL LOW (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE DELUGE SYS PRES LOW,1.0,0.0
DCS SUP:VLS A MODULE DELUGE SYS PRES LOW (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE GAS HAZARD,1.0,0.0
DCS SUP:VLS A MODULE GAS HAZARD (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE MAGZN SPRNKLR SYS LEAKG,1.0,0.0
DCS SUP:VLS A MODULE MAGZN SPRNKLR SYS LEAKG (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE PLENUM WTR LVL HI,1.0,0.0
DCS SUP:VLS A MODULE PLENUM WTR LVL HI (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE SPRNKLR SYS ACTIVE,1.0,0.0
DCS SUP:VLS A MODULE SPRNKLR SYS ACTIVE (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE STATUS PANEL PWR FAILR,1.0,0.0
DCS SUP:VLS A MODULE STATUS PANEL PWR FAILR (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE TEMP HI,1.0,0.0
DCS SUP:VLS A MODULE TEMP HI (DUPSIG_01),1.0,0.0
DCS SUP:VLS A MODULE WTR LVL HI,1.0,0.0
DCS SUP:VLS A MODULE WTR LVL HI (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE DELUGE SYS ACTIVE,1.0,0.0
DCS SUP:VLS B MODULE DELUGE SYS ACTIVE (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE DELUGE SYS LVL LOW,1.0,0.0
DCS SUP:VLS B MODULE DELUGE SYS LVL LOW (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE DELUGE SYS PRES LOW,1.0,0.0
DCS SUP:VLS B MODULE DELUGE SYS PRES LOW (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE GAS HAZARD,1.0,0.0
DCS SUP:VLS B MODULE GAS HAZARD (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE MAGZN SPRNKLG SYS LEAKG,1.0,0.0
DCS SUP:VLS B MODULE MAGZN SPRNKLG SYS LEAKG (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE PLENUM WTR LVL HI,1.0,0.0
DCS SUP:VLS B MODULE PLENUM WTR LVL HI (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE SPRNKLR SYS ACTIVE,1.0,0.0
DCS SUP:VLS B MODULE SPRNKLR SYS ACTIVE (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE STATUS PANEL PWR FAILR,1.0,0.0
DCS SUP:VLS B MODULE STATUS PANEL PWR FAILR (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE TEMP HI,1.0,0.0
DCS SUP:VLS B MODULE TEMP HI (DUPSIG_01),1.0,0.0
DCS SUP:VLS B MODULE WTR LVL HI,1.0,0.0
DCS SUP:VLS B MODULE WTR LVL HI (DUPSIG_01),1.0,0.0
DCS SUP:VLS MAGZN A FIRE,1.0,0.0
DCS SUP:VLS MAGZN A FIRE (DUPSIG_01),1.0,0.0
DCS SUP:VLS MAGZN A FIRE (DUPSIG_02),1.0,0.0
DCS SUP:VLS MAGZN A FIRE (DUPSIG_03),1.0,0.0
DCS SUP:VLS MAGZN A FIRE (DUPSIG_04),1.0,0.0
DCS SUP:VLS MAGZN A FIRE (DUPSIG_05),1.0,0.0
DCS SUP:VLS MAGZN A FLOODG,1.0,0.0
DCS SUP:VLS MAGZN A FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:VLS MAGZN B FIRE,1.0,0.0
DCS SUP:VLS MAGZN B FIRE (DUPSIG_01),1.0,0.0
DCS SUP:VLS MAGZN B FLOODG,1.0,0.0
DCS SUP:VLS MAGZN B FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:WARDRM GLLY FIRE,1.0,0.0
DCS SUP:WARDRM GLLY FIRE (DUPSIG_01),1.0,0.0
DCS SUP:WARDRM MESSRM & LOUNGE FIRE,1.0,0.0
DCS SUP:WARDRM MESSRM & LOUNGE FIRE (DUPSIG_01),1.0,0.0
DCS SUP:WHITE PHOSPHORUS PROJCTL MAGZN FIRE,1.0,0.0
DCS SUP:WHITE PHOSPHORUS PROJCTL MAGZN FIRE (DUPSIG_01),1.0,0.0
DCS SUP:WHITE PHOSPHORUS PROJCTL MAGZN FLOODG,1.0,0.0
DCS SUP:WHITE PHOSPHORUS PROJCTL MAGZN FLOODG (DUPSIG_01),1.0,0.0
DCS SUP:WNDLS MACH RM FIRE,1.0,0.0
DCS SUP:WNDLS MACH RM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:WPNS STRKDWN EQUIPMT STRM FIRE,1.0,0.0
DCS SUP:WPNS STRKDWN EQUIPMT STRM FIRE (DUPSIG_01),1.0,0.0
DCS SUP:XO STATERM FIRE,1.0,0.0
DCS SUP:XO STATERM FIRE (DUPSIG_01),1.0,0.0
DRN EDUC:AFT STEERNG EDUCT PRES,300.0,0.0
DRN EDUC:AFT STEERNG EDUCT VAC,300.0,0.0
DRN EDUC:AMR 1 EDUCT PRES,300.0,0.0
DRN EDUC:AMR 1 EDUCT VAC,300.0,0.0
DRN EDUC:GEN RM 3 EDUCT PRES,300.0,0.0
DRN EDUC:GEN RM 3 EDUCT VAC,300.0,0.0
DRN EDUC:MER 1 EDUCT PRES,300.0,0.0
DRN EDUC:MER 1 EDUCT VAC,300.0,0.0
DRN EDUC:MER 2 EDUCT PRES,300.0,0.0
DRN EDUC:MER 2 EDUCT VAC,300.0,0.0
EOT:PORT ENG ORDER DIFFERENCE,1.0,0.0
EOT:PORT EOT ALERT,1.0,0.0
EOT:STBD ENG ORDER DIFFERENCE,1.0,0.0
EOT:STBD EOT ALERT,1.0,0.0
EP:1S-2S BUS TIE CURRENT,6000.0,0.0
EP:1S-2S BUS TIE CURRENT OOR,1.0,0.0
EP:1S-2S BUS TIE FREQ,65.0,55.0
EP:1S-2S BUS TIE RELAY ENERGIZED,1.0,0.0
EP:1S-2S BUS TIE VOLT,600.0,0.0
EP:1S-2S BUS TIE VOLT OOR,1.0,0.0
EP:1S-3S BUS TIE CURRENT,6000.0,0.0
EP:1S-3S BUS TIE CURRENT OOR,1.0,0.0
EP:1S-3S BUS TIE FREQ,65.0,55.0
EP:1S-3S BUS TIE RELAY ENERGIZED,1.0,0.0
EP:1S-3S BUS TIE VOLT,600.0,0.0
EP:1S-3S BUS TIE VOLT OOR,1.0,0.0
EP:2S-1S BUS TIE CURRENT,6000.0,0.0
EP:2S-1S BUS TIE CURRENT OOR,1.0,0.0
EP:2S-1S BUS TIE FREQ,65.0,55.0
EP:2S-1S BUS TIE RELAY ENERGIZED,1.0,0.0
EP:2S-1S BUS TIE VOLT,600.0,0.0
EP:2S-1S BUS TIE VOLT OOR,1.0,0.0
EP:2S-3S BUS TIE CURRENT,6000.0,0.0
EP:2S-3S BUS TIE CURRENT OOR,1.0,0.0
EP:2S-3S BUS TIE FREQ,65.0,55.0
EP:2S-3S BUS TIE RELAY ENERGIZED,1.0,0.0
EP:2S-3S BUS TIE VOLT,600.0,0.0
EP:2S-3S BUS TIE VOLT OOR,1.0,0.0
EP:3S-1S BUS TIE CURRENT,6000.0,0.0
EP:3S-1S BUS TIE CURRENT OOR,1.0,0.0
EP:3S-1S BUS TIE FREQ,65.0,55.0
EP:3S-1S BUS TIE RELAY ENERGIZED,1.0,0.0
EP:3S-1S BUS TIE VOLT,600.0,0.0
EP:3S-1S BUS TIE VOLT OOR,1.0,0.0
EP:3S-2S BUS TIE CURRENT,6000.0,0.0
EP:3S-2S BUS TIE CURRENT OOR,1.0,0.0
EP:3S-2S BUS TIE FREQ,65.0,55.0
EP:3S-2S BUS TIE RELAY ENERGIZED,1.0,0.0
EP:3S-2S BUS TIE VOLT,600.0,0.0
EP:3S-2S BUS TIE VOLT OOR,1.0,0.0
EP:BUS TIE CKT BRKR 1S-2S CLOSED,1.0,0.0
EP:BUS TIE CKT BRKR 1S-2S OPN,1.0,0.0
EP:BUS TIE CKT BRKR 1S-3S CLOSED,1.0,0.0
EP:BUS TIE CKT BRKR 1S-3S OPN,1.0,0.0
EP:BUS TIE CKT BRKR 2S-1S CLOSED,1.0,0.0
EP:BUS TIE CKT BRKR 2S-1S OPN,1.0,0.0
EP:BUS TIE CKT BRKR 2S-3S CLOSED,1.0,0.0
EP:BUS TIE CKT BRKR 2S-3S OPN,1.0,0.0
EP:BUS TIE CKT BRKR 3S-1S CLOSED,1.0,0.0
EP:BUS TIE CKT BRKR 3S-1S OPN,1.0,0.0
EP:BUS TIE CKT BRKR 3S-2S CLOSED,1.0,0.0
EP:BUS TIE CKT BRKR 3S-2S OPN,1.0,0.0
EP:COMBND ENGY DASHBOARD,1.0,0.0
EP:CTRL AT UCC 1,1.0,0.0
EP:CTRL AT UCC 2,1.0,0.0
EP:CTRL AT UCC 3,1.0,0.0
EP:CTRL AT UCC 4,1.0,0.0
EP:CTRL SPLIT,1.0,0.0
EP:EP DIU2 A2 FUSE F2A SB 1S BLOWN,1.0,0.0
EP:EP DIU3 A2 FUSE F27B SB 1S BLOWN,1.0,0.0
EP:GEN 1 BUS RELAY ENERGIZED,1.0,0.0
EP:GEN 1 CKT BRKR CLOSE,1.0,0.0
EP:GEN 1 CKT BRKR OPN,1.0,0.0
EP:GEN 2 BUS RELAY ENERGIZED,1.0,0.0
EP:GEN 2 CKT BRKR CLOSE,1.0,0.0
EP:GEN 2 CKT BRKR OPN,1.0,0.0
EP:GEN 3 BUS RELAY ENERGIZED,1.0,0.0
EP:GEN 3 CKT BRKR CLOSE,1.0,0.0
EP:GEN 3 CKT BRKR OPN,1.0,0.0
EP:GEN BRKR COMBND,1.0,0.0
EP:GEN PROTECTN MODULE 1SG FAILD,1.0,0.0
EP:GEN PROTECTN MODULE 1SG FAULT CURRENT TRIP INITD,1.0,0.0
EP:GEN PROTECTN MODULE 1SG LOAD SHED STG 1 INITD,1.0,0.0
EP:GEN PROTECTN MODULE 1SG LOAD SHED STG 2 INITD,1.0,0.0
EP:GEN PROTECTN MODULE 1SG RVRS PWR TRIP INITD,1.0,0.0
EP:GEN PROTECTN MODULE 2SG FAILD,1.0,0.0
EP:GEN PROTECTN MODULE 2SG FAULT CURRENT TRIP INITD,1.0,0.0
EP:GEN PROTECTN MODULE 2SG LOAD SHED STG 1 INITD,1.0,0.0
EP:GEN PROTECTN MODULE 2SG LOAD SHED STG 2 INITD,1.0,0.0
EP:GEN PROTECTN MODULE 2SG RVRS PWR TRIP INITD,1.0,0.0
EP:GEN PROTECTN MODULE 3SG FAILD,1.0,0.0
EP:GEN PROTECTN MODULE 3SG FAULT CURRENT TRIP INITD,1.0,0.0
EP:GEN PROTECTN MODULE 3SG LOAD SHED STG 1 INITD,1.0,0.0
EP:GEN PROTECTN MODULE 3SG LOAD SHED STG 2 INITD,1.0,0.0
EP:GEN PROTECTN MODULE 3SG RVRS PWR TRIP INITD,1.0,0.0
EP:GTG 1 SPD SIG TO SWBD FAILD,1.0,0.0
EP:GTG 1 STOP FROM SWBD INITD,1.0,0.0
EP:GTG 2 SPD SIG TO SWBD FAILD,1.0,0.0
EP:GTG 2 STOP FROM SWBD INITD,1.0,0.0
EP:GTG 3 SPD SIG TO SWBD FAILD,1.0,0.0
EP:GTG 3 STOP FROM SWBD INITD,1.0,0.0
EP:SHOR PWR AVAIL,1.0,0.0
EP:SHOR PWR BRKR 01 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 01 OPND,1.0,0.0
EP:SHOR PWR BRKR 02 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 02 OPND,1.0,0.0
EP:SHOR PWR BRKR 03 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 03 OPND,1.0,0.0
EP:SHOR PWR BRKR 04 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 04 OPND,1.0,0.0
EP:SHOR PWR BRKR 05 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 05 OPND,1.0,0.0
EP:SHOR PWR BRKR 06 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 06 OPND,1.0,0.0
EP:SHOR PWR BRKR 07 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 07 OPND,1.0,0.0
EP:SHOR PWR BRKR 08 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 08 OPND,1.0,0.0
EP:SHOR PWR BRKR 09 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 09 OPND,1.0,0.0
EP:SHOR PWR BRKR 10 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 10 OPND,1.0,0.0
EP:SHOR PWR BRKR 11 CLOSED,1.0,0.0
EP:SHOR PWR BRKR 11 OPND,1.0,0.0
