machineName:sensorName,operationalHigh,operationalLow
AC 3:DISCH SATURTN-LIQ TEMP,1.0E50,-1.0E50
AC 3:EVAP EFFCTVNS,1.0E50,-1.0E50
AC 3:HOT GAS BYP POSN 1,1.0,0.0
AC 3:HOT GAS BYP POSN 2,1.0,0.0
AC 3:LO FROM COMP TEMP,300.0,0.0
AC 3:LO TO BRGs TEMP,160.0,0.0
AC 3:MACHINE STATUS,1.0,0.0
AC 3:MOISTR INDCTR,1.0,0.0
AC 3:MOT CURRENT,103.0,36.0
AC 3:MOT SETPT,100.0,0.0
AC 3:PRV POSN,135.0,0.0
AC 3:REFRGRNT COND LIQ TEMP,300.0,0.0
AC 3:REFRGRNT EVAP LIQ TEMP,100.0,37.0
AC 3:REFRGRNT LVL,100.0,0.0
AC 3:REFRGRNT MONITOR,5.0,0.0
AC 3:RESTART AVAIL,1.0,0.0
AC 3:STATUS ON,1.0,0.0
AC 3:SUCT SATURTN TEMP,1.0E50,-1.0E50
AC 3:SUMRY FAULT,1.0,0.0
AC 3:TEMP SETPT,100.0,0.0
AC 3:TIMER MTR,1.0E50,0.0
AC 3:VGD POSN,115.0,8.0
AC 4:COMP DISCH PRES,65.0,20.0
AC 4:COMP DISCH SUPERHT,1.0E50,-1.0E50
AC 4:COMP DISCH TEMP,155.0,70.0
AC 4:COMP DP,1.0E50,-1.0E50
AC 4:COMP LO FLTR DP,1.0E50,-1.0E50
AC 4:COMP LO SUMP TEMP,170.0,115.0
AC 4:COMP OIL LVL,2.0,0.0
AC 4:COMP OIL PRES,150.0,95.0
AC 4:COMP RUNNING,1.0,0.0
AC 4:COMP SUCT PRES,7.0,0.3
AC 4:COMP SUCT SUPERHT,1.0E50,-1.0E50
AC 4:COMP SUCT TEMP,80.0,37.0
AC 4:COND EFFCTVNS,1.0E50,-1.0E50
AC 4:COND SW IN PRES,75.0,20.0
AC 4:COND SW IN TEMP,100.0,28.0
AC 4:COND SW OUT TEMP,102.0,28.0
AC 4:COND SW STRNR DP,8.0,0.0
AC 4:CTRL VLV POSN,125.0,-5.0
AC 4:CW CAPACITY,200.0,20.0
AC 4:CW DIF TEMP,1.0E50,-1.0E50
AC 4:CW FLW,1000.0,180.0
AC 4:CW IN PRES,125.0,0.0
AC 4:CW IN TEMP,53.0,39.0
AC 4:CW OUT TEMP,120.0,39.0
AC 4:CW PMP DISCH PRES,110.0,20.0
AC 4:CW PMP SUCT PRES,200.0,-50.0
AC 4:DISCH SATURTN TEMP,1.0E50,-1.0E50
AC 4:DISCH SATURTN-LIQ TEMP,1.0E50,-1.0E50
AC 4:EVAP EFFCTVNS,1.0E50,-1.0E50
AC 4:HOT GAS BYP POSN 1,1.0,0.0
AC 4:HOT GAS BYP POSN 2,1.0,0.0
AC 4:LO FROM COMP TEMP,300.0,0.0
AC 4:LO TO BRGs TEMP,160.0,0.0
AC 4:MACHINE STATUS,1.0,0.0
AC 4:MOISTR INDCTR,1.0,0.0
AC 4:MOT CURRENT,103.0,36.0
AC 4:MOT SETPT,100.0,0.0
AC 4:PRV POSN,135.0,0.0
AC 4:REFRGRNT COND LIQ TEMP,300.0,0.0
AC 4:REFRGRNT EVAP LIQ TEMP,100.0,37.0
AC 4:REFRGRNT LVL,100.0,0.0
AC 4:REFRGRNT MONITOR,5.0,0.0
AC 4:RESTART AVAIL,1.0,0.0
AC 4:STATUS ON,1.0,0.0
AC 4:SUCT SATURTN TEMP,1.0E50,-1.0E50
AC 4:SUMRY FAULT,1.0,0.0
AC 4:TEMP SETPT,100.0,0.0
AC 4:TIMER MTR,1.0E50,0.0
AC 4:VGD POSN,115.0,8.0
ACs:AC PLANT ONLINE,1.0,0.0
ACs:CW EXP TNK 1 LVL,75.0,50.0
ACs:CW EXP TNK 1 SUPL PRES,50.0,25.0
ACs:CW EXP TNK 2/3 LVL,75.0,50.0
ACs:CW EXP TNK 2/3 SUPL PRES,50.0,25.0
ACs:CW EXP TNK 4 LVL,75.0,50.0
ACs:CW EXP TNK 4 SUPL PRES,50.0,25.0
ACs:NUM AC PLANTS ONLINE,4.0,0.0
AIR:ER 1 AIR START LOW PRES ACTIVE,1.0,0.0
AIR:ER 1 BLD AIR HDR PRES LOW,1.0,0.0
AIR:ER 1 GTM STARTG AIR TEMP HI,1.0,0.0
AIR:ER 1 HI PRES AIR START VLV CLOSED,1.0,0.0
AIR:ER 1 HI PRES AIR START VLV OPN,1.0,0.0
AIR:ER 1 MOT AIR REG VLV MOT POSN,1.0,0.0
AIR:ER 1 MOT AIR REG VLV START POSN,1.0,0.0
AIR:ER 1 MSKR AIR PRES SUMRY FAULT,1.0,0.0
AIR:ER 1 MSKR AIR TEMP HI,1.0,0.0
AIR:ER 1 PRAIRIE AIR OFF,1.0,0.0
AIR:ER 1 PRAIRIE AIR ON,1.0,0.0
AIR:ER 1 PRAIRIE AIR PRES SUMRY FAULT,1.0,0.0
AIR:ER 1 PRAIRIE AIR TEMP HI,1.0,0.0
AIR:ER 1 RECEIVER PRES LOW,1.0,0.0
AIR:ER 1 XFER VLV MSKR POSN,1.0,0.0
AIR:ER 1 XFER VLV START POSN,1.0,0.0
AIR:ER 2 AIR START LOW PRES ACTIVE,1.0,0.0
AIR:ER 2 BLD AIR HDR PRES LOW,1.0,0.0
AIR:ER 2 GTM STARTG AIR TEMP HI,1.0,0.0
AIR:ER 2 HI PRES AIR START VLV CLOSED,1.0,0.0
AIR:ER 2 HI PRES AIR START VLV OPN,1.0,0.0
AIR:ER 2 MOT AIR REG VLV MOT POSN,1.0,0.0
AIR:ER 2 MOT AIR REG VLV START POSN,1.0,0.0
AIR:ER 2 MSKR AIR PRES SUMRY FAULT,1.0,0.0
AIR:ER 2 MSKR AIR TEMP HI,1.0,0.0
AIR:ER 2 PRAIRIE AIR OFF,1.0,0.0
AIR:ER 2 PRAIRIE AIR ON,1.0,0.0
AIR:ER 2 PRAIRIE AIR PRES SUMRY FAULT,1.0,0.0
AIR:ER 2 PRAIRIE AIR TEMP HI,1.0,0.0
AIR:ER 2 RECEIVER PRES LOW,1.0,0.0
AIR:ER 2 XFER VLV MSKR POSN,1.0,0.0
AIR:ER 2 XFER VLV START POSN,1.0,0.0
AIR:MEMBRANE DEHYD 1 OUT AIR FLW,36.0,0.0
AIR:PORT MSKR AIR IN TEMP,250.0,0.0
AIR:PORT MSKR AIR OUT TEMP,250.0,0.0
AIR:PORT MSKR AIR OVRRD,1.0,0.0
AIR:PORT PRAIRIE AIR IN TEMP,250.0,0.0
AIR:PORT PRAIRIE AIR OUT TEMP,250.0,0.0
AIR:STBD MSKR AIR IN TEMP,250.0,0.0
AIR:STBD MSKR AIR OUT TEMP,250.0,0.0
AIR:STBD MSKR AIR OVRRD,1.0,0.0
AIR:STBD PRAIRIE AIR IN TEMP,250.0,0.0
AIR:STBD PRAIRIE AIR OUT TEMP,250.0,0.0
BILGE:AFT STEERNG LVL,1.0,0.0
BILGE:AFT VCHT LVL,1.0,0.0
BILGE:AMR 1 LVL,1.0,0.0
BILGE:AMR 2 LVL,1.0,0.0
BILGE:FWD VCHT LVL,1.0,0.0
BILGE:GEN RM 3 LVL,1.0,0.0
BILGE:MER 1 LVL,1.0,0.0
BILGE:MER 2 LVL,1.0,0.0
BILGE:SHAFT ALY LVL,1.0,0.0
CPP 1:8QWT OUTPUT,1.0,0.0
CPP 1:9ATQ OUTPUT,1.0,0.0
CPP 1:ACKD PROP PITCH DSPLY,154.7,-79.6
CPP 1:AUTO PROP PITCH FDBK INVAL,1.0,0.0
CPP 1:AUX SERVO FLTR DP,90.0,0.0
CPP 1:AUX SERVO FLTR DP HI,1.0,0.0
CPP 1:AUX SERVO SUPL PRES,425.0,350.0
CPP 1:DGTL/ANLG CNVTR PROP PITCH CMD INVAL,1.0,0.0
CPP 1:GEAR DRIVEN PMP DISCH FLTR DP,130.0,0.0
CPP 1:GEAR DRIVEN PMP DISCH FLTR DP HI,1.0,0.0
CPP 1:GEAR DRIVEN PMP DISCH PRES,1500.0,400.0
CPP 1:GEAR DRIVEN PMP FLW,190.0,0.0
CPP 1:GEAR DRIVEN PMP SUCT PRES,7.0,0.0
CPP 1:GEAR DRIVEN PMP SUCT STRNR DP,4.0,0.0
CPP 1:GEAR DRIVEN PMP SUCT STRNR DP HI,1.0,0.0
CPP 1:HD TNK LVL,72.0,45.0
CPP 1:HOPM HYD OIL TEMP,160.0,80.0
CPP 1:HUB SERVO FLW,1000.0,0.0
CPP 1:HUB SERVO OIL PRES,1000.0,100.0
CPP 1:LEVER POSN,1.0E10,-1.0E10
CPP 1:MAN PROP PITCH CMD INVAL,1.0,0.0
CPP 1:MAN PROP PITCH FDBK INVAL,1.0,0.0
CPP 1:MAN PROP PITCH LEVER,10.0,0.5
CPP 1:MOT DRIVEN PMP DISCH FLTR DP,160.0,0.0
CPP 1:MOT DRIVEN PMP DISCH FLTR DP HI,1.0,0.0
CPP 1:MOT DRIVEN PMP DISCH PRES,1000.0,440.0
CPP 1:MOT DRIVEN PMP IN AUTO,1.0,0.0
CPP 1:MOT DRIVEN PMP IN LOCAL,1.0,0.0
CPP 1:MOT DRIVEN PMP IN MAN,1.0,0.0
CPP 1:MOT DRIVEN PMP OFF,1.0,0.0
CPP 1:MOT DRIVEN PMP ON,1.0,0.0
CPP 1:MOT DRIVEN PMP SUCT PRES,7.0,0.0
CPP 1:MOT DRIVEN PMP SUCT STRNR DP,4.0,0.0
CPP 1:MOT DRIVEN PMP SUCT STRNR DP HI,1.0,0.0
CPP 1:OIL FLW HI,1.0,0.0
CPP 1:OIL FLW LOW,1.0,0.0
CPP 1:ORDERED PROP PITCH DSPLY,154.7,-79.6
CPP 1:PMP UNAVAIL,1.0,0.0
CPP 1:PROG CTRL LEVER POSN IBS,3890.0,204.0
CPP 1:PROP ACTUAL PITCH,154.7,-79.6
CPP 1:PROP ACTUAL PITCH FAILR,1.0,0.0
CPP 1:PROP ACTUAL PITCH OOR,1.0,0.0
CPP 1:PROP PITCH CMD,154.7,-79.6
CPP 1:RTN OIL BACK PRES,35.0,14.0
CPP 1:SUMP LVL,1168.0,801.0
CPP 1:SUMP LVL HI,1.0,0.0
CPP 1:SUMP LVL LOW,1.0,0.0
CPP 1:SUMP TEMP,500.0,-40.0
CPP 1:SUMP TEMP HI,1.0,0.0
CPP 1:SUMP TEMP LOW,1.0,0.0
CPP 2:8QWT OUTPUT,1.0,0.0
CPP 2:9ATQ OUTPUT,1.0,0.0
CPP 2:ACKD PROP PITCH DSPLY,154.7,-79.6
CPP 2:AUTO PROP PITCH FDBK INVAL,1.0,0.0
CPP 2:AUX SERVO FLTR DP,90.0,0.0
CPP 2:AUX SERVO FLTR DP HI,1.0,0.0
CPP 2:AUX SERVO SUPL PRES,425.0,350.0
CPP 2:DGTL/ANLG CNVTR PROP PITCH CMD INVAL,1.0,0.0
CPP 2:GEAR DRIVEN PMP DISCH FLTR DP,130.0,0.0
CPP 2:GEAR DRIVEN PMP DISCH FLTR DP HI,1.0,0.0
CPP 2:GEAR DRIVEN PMP DISCH PRES,1500.0,400.0
CPP 2:GEAR DRIVEN PMP FLW,190.0,0.0
CPP 2:GEAR DRIVEN PMP SUCT PRES,7.0,0.0
CPP 2:GEAR DRIVEN PMP SUCT STRNR DP,4.0,0.0
CPP 2:GEAR DRIVEN PMP SUCT STRNR DP HI,1.0,0.0
